TRACTCE10,GEOID10,PercentEBLL2018,PercentEBLL2017,PercentEBLL2016,PercentEBLL2015,TotalPercentEBLL15_18
10300,42003010300,10.52631579,20,21.73913043,4.54545455,14.28571429
20100,42003020100,0,0,0,0,0
20300,42003020300,0,0,,,0
30500,42003030500,0,0,2.94117647,0,0.60606061
40200,42003040200,7.14285714,0,0,0,1.92307692
40400,42003040400,0,0,0,0,0
40500,42003040500,,,,,
40600,42003040600,0,,,,
40900,42003040900,0,0,7.69230769,13.33333333,5.17241379
50100,42003050100,6.66666667,2.77777778,3.57142857,6.25,4.96453901
50600,42003050600,4.54545455,8,5,5,5.74712644
50900,42003050900,5.45454545,2.63157895,2.63157895,0,2.7027027
51000,42003051000,0,0,0,0,0
51100,42003051100,0,0,0,3.33333333,0.93457944
60300,42003060300,9.67741935,0,0,4.54545455,4
60500,42003060500,5.26315789,0,10,0,3.22580645
70300,42003070300,0,0,0,0,0
70500,42003070500,3.7037037,0,0,0,1.26582278
70600,42003070600,0,0,0,0,0
70800,42003070800,0,0,0,0,0
70900,42003070900,1.58730159,0,2.94117647,14.70588235,4.16666667
80200,42003080200,0,0,0,0,0
80400,42003080400,0,0,5.88235294,18.18181818,5.55555556
80600,42003080600,3.44827586,6.25,17.64705882,8.33333333,8.10810811
80700,42003080700,2.85714286,0,4.76190476,0,2.04081633
80900,42003080900,9.09090909,12.5,16.66666667,0,10
90100,42003090100,0,11.11111111,14.28571429,0,5.66037736
90200,42003090200,7.5,6.25,8.82352941,0,6.4
90300,42003090300,7.69230769,10,0,18.18181818,9.30232558
100500,42003100500,2.56410256,0,5.88235294,5.26315789,2.75229358
101100,42003101100,12.82051282,7.40740741,4,7.14285714,8.40336134
101400,42003101400,1.81818182,5.35714286,8.69565217,0,4
101600,42003101600,0,0,0,0,0
101700,42003101700,3.03030303,3.03030303,3.33333333,5.88235294,3.84615385
101800,42003101800,2.43902439,0,0,0,0.76335878
110200,42003110200,4,3.44827586,5.12820513,2.94117647,3.88349515
110600,42003110600,4.08163265,0,2.63157895,0,1.98675497
111300,42003111300,2.08333333,0,6.97674419,7.5,4.02298851
111400,42003111400,20,9.52380952,0,3.44827586,7.92079208
111500,42003111500,0,2.63157895,0,0,0.58479532
120300,42003120300,10.34482759,10.34482759,3.03030303,0,5.51181102
120400,42003120400,6.25,25,12.5,6.66666667,12.6984127
120700,42003120700,0,12.5,11.53846154,19.23076923,11.23595506
120800,42003120800,10.71428571,0,0,5.26315789,4.65116279
130100,42003130100,4.83870968,5,5.08474576,3.63636364,4.66101695
130200,42003130200,10.52631579,9.52380952,4.25531915,0,6.57894737
130300,42003130300,2.08333333,2.27272727,9.75609756,13.79310345,6.17283951
130400,42003130400,2.5,12.5,9.09090909,12.5,9.46745562
130600,42003130600,1.85185185,3.57142857,4.25531915,2.72727273,3.06603774
140100,42003140100,0,2.77777778,4.76190476,0,1.75438596
140200,42003140200,0,0,0,0,0
140300,42003140300,4.30107527,1.66666667,3.03030303,4.16666667,3.33333333
140400,42003140400,2,2.3255814,7.69230769,8.33333333,3.81679389
140500,42003140500,7.31707317,12,0,10.52631579,7.61904762
140600,42003140600,2.66666667,5,7.69230769,4,4.71698113
140800,42003140800,2.72727273,2.27272727,3.44827586,0,2.31788079
141000,42003141000,4,4,0,0,2.77777778
141100,42003141100,0,0,0,0,0
141300,42003141300,2.29885057,0,0,0,0.83682008
141400,42003141400,2.22222222,1.1627907,4.34782609,0,2.16049383
151600,42003151600,0,3.57142857,0,0,0.67567568
151700,42003151700,3.0075188,2.24719101,2.66666667,6.84931507,3.51351351
160800,42003160800,0,0,4.76190476,0,1.19047619
160900,42003160900,0,0,0,0,0
170200,42003170200,0,0,0,0,0
170600,42003170600,0,10,0,0,2.22222222
180300,42003180300,10,13.20754717,21.27659574,16.27906977,15.02590674
180700,42003180700,0,0,25,10.34482759,6.12244898
190300,42003190300,0,12.5,0,0,3.27868852
191100,42003191100,3.7037037,4.16666667,5.88235294,0,3.44827586
191400,42003191400,2.94117647,4.54545455,4.54545455,14.28571429,6.06060606
191500,42003191500,5.55555556,0,0,4.76190476,3.22580645
191600,42003191600,1.51515152,4.54545455,9.83606557,3.7037037,4.88888889
191700,42003191700,0,2.04081633,0,2.17391304,1.03626943
191800,42003191800,4.9382716,1.51515152,5.55555556,4.34782609,4.07407407
191900,42003191900,0,0,0,0,0
192000,42003192000,4.87804878,0,5.71428571,5.40540541,4.22535211
202200,42003202200,3.77358491,1.69491525,4.34782609,0,2.68817204
202300,42003202300,2.08333333,0,0,0,0.72463768
210700,42003210700,0,5.71428571,0,10.71428571,4.1322314
220600,42003220600,27.77777778,4.16666667,7.14285714,0,9.09090909
240600,42003240600,6.81818182,10.20408163,8.33333333,11.11111111,9.09090909
241200,42003241200,16.66666667,13.63636364,18.75,29.41176471,19.17808219
250300,42003250300,7.40740741,10.71428571,9.52380952,8.33333333,9
250700,42003250700,9.09090909,11.11111111,4.54545455,0,6.81818182
250900,42003250900,0,5.40540541,3.125,2.5,2.7972028
260200,42003260200,2.77777778,11.11111111,10.81081081,0,6.42857143
260700,42003260700,5.08474576,8.33333333,6.66666667,18.18181818,8.86075949
260900,42003260900,1.2987013,1.7699115,4,0,1.81818182
261200,42003261200,0,0,0,0,0
261400,42003261400,10.90909091,4.16666667,14.58333333,7.69230769,9.35960591
261500,42003261500,3.44827586,8.57142857,0,20.45454545,9.77443609
262000,42003262000,5.97014925,4.41176471,11.53846154,7.14285714,6.99588477
270100,42003270100,2.04081633,6.81818182,2.7027027,9.375,4.9382716
270300,42003270300,12,17.94871795,12.12121212,13.33333333,13.81578947
270400,42003270400,4.16666667,0,0,8.33333333,3.94736842
270800,42003270800,3.57142857,2.85714286,7.89473684,5,4.73372781
271500,42003271500,15.15151515,9.61538462,11.36363636,7.14285714,11.00917431
281400,42003281400,2.7027027,5.19480519,4.76190476,3.17460317,4.02684564
281500,42003281500,0,6.25,12.5,14.28571429,8.57142857
290100,42003290100,0,0,3.63636364,2.63157895,1.61290323
290200,42003290200,9,6.93069307,13.63636364,13.48314607,10.58201058
290400,42003290400,1.49253731,3.17460317,3.50877193,2.85714286,2.72373541
300100,42003300100,12.79069767,12.67605634,22.66666667,9.1954023,14.10658307
310200,42003310200,0,0,0,0,0
310300,42003310300,0,0,,0,0
320400,42003320400,0,0,0,0,0
320600,42003320600,0,3.44827586,0,7.69230769,2.63157895
320700,42003320700,0,0,0,5,1.2345679
401100,42003401100,0,1.4084507,0,2.22222222,0.76335878
401200,42003401200,0,1.61290323,0,0,0.42918455
401300,42003401300,2,0,0,0,1
402000,42003402000,4,0,0,0,1.16959064
403500,42003403500,5.26315789,5,6.06060606,2.89855072,4.83870968
404000,42003404000,0,0,0,0,0
405000,42003405000,0,0,0,0,0
406000,42003406000,3.125,4.54545455,7.69230769,0,3.65853659
407001,42003407001,0,0,0,0,0
407002,42003407002,0,2.04081633,0,0,0.4587156
408001,42003408001,0,0,0,0,0
408002,42003408002,0,0,0,0,0
409000,42003409000,0,0,0,0,0
410000,42003410000,0,0,0,0,0
411000,42003411000,0.62893082,0,0,0,0.31446541
412001,42003412001,0.59171598,1.28205128,0,0,0.53908356
412002,42003412002,0.8,0,0,0,0.41152263
413100,42003413100,0.78740157,0,0,0,0.38314176
413201,42003413201,0,0,0,0,0
413202,42003413202,0,0,0,0,0
413300,42003413300,0,0,0,0,0
413400,42003413400,0,0,0,0,0
413500,42003413500,0,2.43902439,0,0,0.44843049
414101,42003414101,0,0,0,0,0
414102,42003414102,0,0,0,0,0
414200,42003414200,0,0,0,0,0
415001,42003415001,0,0,0,0,0
415002,42003415002,0,0,0,0,0
416000,42003416000,0,0,0,0,0
417100,42003417100,0,2.63157895,0,0,0.75757576
417200,42003417200,0,0,0,0,0
418000,42003418000,3.125,0,0,0,1.31578947
419000,42003419000,0,0,0,0,0
420000,42003420000,0,0,0,0,0
421100,42003421100,0,0,0,0,0
421200,42003421200,0,0,0,0,0
422000,42003422000,0,0,0,0,0
423000,42003423000,5.12820513,4.44444444,0,5.55555556,4.11764706
424000,42003424000,0,6.12244898,2.27272727,2.77777778,2.79329609
425000,42003425000,2,3.44827586,7.69230769,6.81818182,4.71204188
426300,42003426300,2.29885057,1.49253731,0,0,1.10294118
426400,42003426400,5.76923077,4.16666667,0,0,2.95857988
426700,42003426700,4.16666667,0,6.66666667,0,2.73972603
426800,42003426800,0,0,0,0,0
427000,42003427000,2.04081633,2.56410256,5.26315789,5.40540541,3.6809816
427100,42003427100,0,2.17391304,3.33333333,0,1.01010101
427200,42003427200,0,3.77358491,0,0,0.97087379
428100,42003428100,10.52631579,12.5,10,14.28571429,11.86440678
428200,42003428200,3.44827586,0,6.25,3.7037037,3.2967033
429100,42003429100,0,0,0,0,0
429201,42003429201,1.11111111,0,0,2.38095238,0.93457944
